date,ticker,side,pattern,rank,align,tf,close,trigger,entry,stop,target_conservative,target_aggressive,measured_move,risk_pct,dist_to_trigger_pct,adr_pct,ext20_adr,atr_pct,score,structure,volume,readiness,accum_ratio,volume_ratio,height_pct,touches,length,d_vs_20ma,d_vs_200ma,w_trend,h_trend,regime,dollar_volume,raw_score,dist_to_trigger_atr,est_win_rate,risk_per_share
2026-08-03,FCX,long,symmetrical_triangle,96.2,1.0,up/up/up,63.63,64.99,65.28,61.01,71.69,78.09,83.73,6.54,2.14,4.04,0.98,4.48,27.9,14.5,4.1,9.2,0.462,0.95,29.0,4,90,3.95,11.69,up,up,bull_low,885268939,27.9,0.48,,4.27
2026-08-03,NTAP,long,flat_base,96.1,1.0,up/up/up,183.8,184.17,184.88,174.23,200.86,216.84,220.16,5.76,0.2,4.25,2.1,3.86,32.2,11.8,10.3,10.0,0.75,0.68,19.2,0,37,8.95,52.5,up,up,bull_low,385632144,32.2,0.05,,10.65
2026-08-03,ANET,long,flat_base,95.3,1.0,up/up/up,185.5,189.82,190.86,175.59,213.77,236.67,225.14,8.0,2.33,5.4,1.13,5.64,27.6,12.9,5.2,9.4,0.462,0.93,18.5,0,27,6.1,26.99,up,up,bull_low,1284227186,27.6,0.41,,15.27
2026-08-03,AVGO,long,symmetrical_triangle,94.6,1.0,up/up/up,391.44,393.33,394.99,370.0,432.49,469.98,471.35,6.33,0.48,3.67,0.41,4.26,25.6,12.0,3.6,10.0,0.462,0.71,19.5,6,37,1.51,7.2,up,up,bull_low,7785838990,25.6,0.11,,25.0
2026-08-03,WMG,short,bear_flag,93.8,1.0,down/down/down,25.45,25.35,25.23,27.08,22.45,19.68,18.71,7.34,0.39,3.79,-2.32,4.85,25.0,10.5,4.5,10.0,0.538,1.2,17.7,0,25,-8.77,-12.14,down,down,bull_low,52256205,25.0,0.08,,1.85
2026-08-03,RVTY,long,flat_base,93.6,1.0,up/up/up,115.43,116.09,116.47,110.74,125.06,133.65,139.51,4.92,0.57,3.19,1.15,3.31,34.4,13.8,10.8,9.9,0.615,1.18,20.0,0,50,3.66,16.69,up,up,bull_low,136683241,34.4,0.17,,5.73
2026-08-03,TOST,long,bull_flag,93.5,1.0,up/up/up,33.06,33.26,33.39,31.44,36.31,39.23,41.05,5.83,0.6,3.85,2.23,3.92,28.8,11.8,7.6,9.4,0.538,0.76,17.3,0,24,8.58,8.83,up,up,bull_low,272190519,28.8,0.15,,1.95
2026-08-03,DASH,long,bull_flag,93.1,1.0,up/up/up,201.42,203.88,204.71,192.19,223.5,242.29,260.9,6.12,1.22,4.08,1.66,4.15,27.8,12.5,6.5,8.8,0.538,0.73,18.5,0,25,6.76,5.62,up,up,bull_low,669837185,27.8,0.29,,12.52
2026-08-03,BRKR,long,flat_base,93.1,1.0,up/up/up,63.77,65.3,65.6,61.15,72.26,78.92,77.75,6.77,2.4,4.75,1.22,4.64,30.6,11.8,9.9,9.0,0.615,0.85,19.1,0,37,5.79,39.12,up,up,bull_low,104152242,30.6,0.52,,4.44
2026-08-03,NXT,short,bear_flag,91.7,1.0,down/down/mixed,91.11,87.26,86.47,93.39,76.09,65.72,64.59,8.0,4.22,6.51,-1.72,8.68,34.9,15.5,12.0,7.4,0.154,1.27,26.7,0,13,-11.17,-16.42,mixed,down,bull_low,276360334,34.9,0.49,,6.92
