symbol,dir,in_play,has_news,price,change_pct,since_open_pct,adj_rvol,dollar_volume,gap_pct,day_low,day_high,adr_pct,score,headline
ALEC,long,True,False,1.91,28.2,28.2,5.0,6109595,0.0,1.48,1.99,7.6,99.0,GSK ends brain drug alliance with Alector
HTZ,long,True,True,2.13,36.9,17.3,6.3,203788380,16.7,1.63,2.19,9.7,93.6,Hertz Earnings Might Be a Problem for Short Sellers. The Stock Is Soaring.
KRO,long,True,True,8.34,34.2,17.4,6.1,14514052,14.3,7.14,8.71,6.3,91.7,Kronos Worldwide (KRO) Surpasses Q2 Earnings and Revenue Estimates
HNST,long,True,True,5.35,39.0,8.1,13.9,97228674,28.6,4.84,5.84,4.9,80.1,The Honest Co Inc (HNST) (Q2 2026) Earnings Call Highlights: Record Margins and Strategic ...
FIP,long,False,True,4.04,18.3,29.7,2.3,8704640,-8.8,3.06,4.06,8.3,96.0,FTAI Infrastructure Inc (FIP) (Q2 2026) Earnings Call Highlights: Record EBITDA and Strategic .
ACDC,long,False,True,4.57,1.3,30.1,2.3,13304404,-22.1,3.51,4.61,9.2,92.6,ProFrac Q2 Earnings Call Highlights
OPRT,long,False,True,8.07,33.1,19.7,4.5,16586752,11.2,6.74,8.3,5.4,92.4,Oportun Financial Corp (OPRT) (Q2 2026) Earnings Call Highlights: Strong Profitability and ...
SGHT,long,False,True,6.87,23.7,18.6,4.0,4542584,4.3,5.79,7.17,8.0,86.5,Sight Sciences Inc (SGHT) (Q2 2026) Earnings Call Highlights: Record Revenue Growth and Raised 
TASK,long,False,True,8.04,27.1,14.4,4.2,21606323,11.2,7.02,8.22,6.6,81.5,TaskUs Q2 Earnings Call Highlights
CION,long,False,True,7.37,18.3,10.0,3.3,11961191,7.5,6.6,7.49,3.5,70.5,CION Investment Corporation Q2 2026 Earnings Call Summary
FUN,short,False,True,15.77,-15.9,-10.0,3.6,113634295,-6.6,14.97,17.72,5.6,69.6,Six Flags Entertainment Corp (FUN) (Q2 2026) Earnings Call Highlights: Attendance Surges 4% and
IOVA,long,False,True,6.19,42.6,4.0,4.6,381852344,37.2,5.63,6.39,7.7,68.0,IOVA Stock Heads For Best Day In Over 6 Years – Buyout Buzz Builds After Blowout Q2
GDRX,long,False,True,3.73,14.1,9.1,2.6,11950270,4.6,3.23,3.81,5.5,66.7,GoodRx Q2 Earnings Call Highlights
PEPG,long,False,False,2.29,15.5,8.9,4.1,6918611,6.1,2.06,2.39,9.2,65.6,"PepGen (PEPG) Loses 14.3% in 4 Weeks, Here's Why a Trend Reversal May be Around the Corner"
PTON,short,False,True,5.45,-16.5,-7.7,2.4,137323831,-9.5,5.45,6.0,4.1,65.6,Planet Fitness Cuts Adjusted Earnings Outlook; Peloton Issues Downbeat Revenue Guidance
TPVG,long,False,True,5.22,13.0,8.5,2.2,2881956,4.1,4.8,5.24,3.7,65.3,TriplePoint Venture Growth BDC Corp (TPVG) (Q2 2026) Earnings Call Highlights: Strategic ...
TROX,long,False,True,7.04,20.3,8.5,1.5,26384983,10.9,6.0,7.11,6.8,64.1,"Tronox (TROX) Reports Q2 Loss, Beats Revenue Estimates"
ABCL,long,False,True,6.5,9.8,11.7,1.0,43848779,-1.7,5.62,6.54,7.5,63.6,AbCellera Biologics Inc (ABCL) (Q2 2026) Earnings Call Highlights: Strong Pipeline Progress and
PYXS,long,False,False,3.56,13.7,13.7,0.9,2748818,0.0,3.13,3.58,9.6,62.7,Pyxis Oncology Secures Up to $114 Million Private Placement
MATV,long,False,True,11.45,19.6,6.7,1.9,9536006,12.2,10.1,11.85,4.8,62.3,Mativ Holdings (MATV) Beats Q2 Earnings and Revenue Estimates
GTM,long,False,True,4.13,13.0,10.0,1.1,50270030,2.7,3.76,4.23,6.6,62.2,"Klaviyo Demand Remains Resilient, Statsig Drives Amplitude Growth, ZoomInfo Recovery Still Unpr"
VISN,short,False,False,10.28,-16.8,-6.3,2.9,159009621,-11.2,10.21,11.18,3.5,61.8,Navigating Vistance Networks’ (VISN) Asset Sales and Dividends
RMAX,long,False,False,10.76,10.9,10.4,1.4,5371381,0.5,9.46,11.01,5.6,61.6,Why RE/MAX (RMAX) Shares Are Trading Lower Today
FF,long,False,False,5.39,8.9,8.5,1.5,2149133,0.4,4.89,5.4,4.7,60.0,DWF Executive Warns Strategy and BitMine Could Trigger the Biggest Crypto Crash in History
